Continent,Deaths,"Health Expenditure","Hospital Beds"
"North America",313898,7.74228195091677,1.6074796477820543
"South America",263393,7.517964861816076,2.1889048760991963
Europe,204510,8.253569787745015,4.7285822170278955
Asia,175097,5.4623641330101895,2.5755290834941817
Africa,30165,5.707959261380868,1.119477190149374
Oceania,995,6.450880098218125,1.321487603305781
